Date,Value
1952-07-01,6737.0
1952-06-01,6712.0
1952-05-01,6694.0
1952-04-01,6662.0
1952-03-01,6662.0
1952-02-01,6650.0
1952-01-01,6589.0
1951-12-01,6688.0
1951-11-01,6626.0
1951-10-01,6577.0
1951-09-01,6552.0
1951-08-01,6519.0
1951-07-01,6538.0
1951-06-01,6499.0
1951-05-01,6417.0
1951-04-01,6451.0
1951-03-01,6410.0
1951-02-01,6382.0
1951-01-01,6352.0
1950-12-01,6314.0
1950-11-01,6262.0
1950-10-01,6249.0
1950-09-01,6228.0
1950-08-01,6187.0
1950-07-01,6090.0
1950-06-01,6022.0
1950-05-01,6043.0
1950-04-01,6094.0
1950-03-01,6078.0
1950-02-01,5926.0
1950-01-01,5934.0
1949-12-01,5952.0
1949-11-01,5950.0
1949-10-01,5970.0
1949-09-01,5990.0
1949-08-01,5985.0
1949-07-01,5962.0
1949-06-01,5956.0
1949-05-01,5962.0
1949-04-01,5948.0
1949-03-01,5915.0
1949-02-01,5893.0
1949-01-01,5894.0
1948-12-01,5888.0
1948-11-01,5869.0
1948-10-01,5829.0
1948-09-01,5805.0
1948-08-01,5791.0
1948-07-01,5774.0
1948-06-01,5736.0
1948-05-01,5681.0
1948-04-01,5643.0
1948-03-01,5623.0
1948-02-01,5615.0
1948-01-01,5624.0
1947-12-01,5605.0
1947-11-01,5585.0
1947-10-01,5566.0
1947-09-01,5539.0
1947-08-01,5519.0
1947-07-01,5524.0
1947-06-01,5524.0
1947-05-01,5551.0
1947-04-01,5558.0
1947-03-01,5588.0
1947-02-01,5606.0
1947-01-01,5619.0
1946-12-01,5628.0
1946-11-01,5639.0
1946-10-01,5664.0
1946-09-01,5669.0
1946-08-01,5681.0
1946-07-01,5682.0
1946-06-01,5680.0
1946-05-01,5732.0
1946-04-01,5761.0
1946-03-01,5758.0
1946-02-01,5778.0
1946-01-01,5785.0
1945-12-01,5811.0
1945-11-01,5830.0
1945-10-01,5854.0
1945-09-01,5942.0
1945-08-01,6135.0
1945-07-01,6185.0
1945-06-01,6181.0
1945-05-01,6159.0
1945-04-01,6185.0
1945-03-01,6216.0
1945-02-01,6239.0
1945-01-01,6254.0
1944-12-01,6375.0
1944-11-01,6263.0
1944-10-01,6223.0
1944-09-01,6216.0
1944-08-01,6204.0
1944-07-01,6190.0
1944-06-01,6147.0
1944-05-01,6121.0
1944-04-01,6112.0
1944-03-01,6113.0
1944-02-01,6129.0
1944-01-01,6162.0
1943-12-01,6271.0
1943-11-01,6179.0
1943-10-01,6170.0
1943-09-01,6167.0
1943-08-01,6151.0
1943-07-01,6257.0
1943-06-01,6324.0
1943-05-01,6281.0
1943-04-01,6267.0
1943-03-01,6257.0
1943-02-01,6223.0
1943-01-01,6132.0
1942-12-01,6072.0
1942-11-01,6026.0
1942-10-01,5956.0
1942-09-01,5866.0
1942-08-01,5814.0
1942-07-01,5591.0
1942-06-01,5510.0
1942-05-01,5431.0
1942-04-01,5357.0
1942-03-01,5257.0
1942-02-01,5146.0
1942-01-01,5089.0
1941-12-01,4971.0
1941-11-01,4949.0
1941-10-01,4907.0
1941-09-01,4891.0
1941-08-01,4821.0
1941-07-01,4750.0
1941-06-01,4701.0
1941-05-01,4642.0
1941-04-01,4585.0
1941-03-01,4535.0
1941-02-01,4504.0
1941-01-01,4468.0
1940-12-01,4415.0
1940-11-01,4396.0
1940-10-01,4353.0
1940-09-01,4312.0
1940-08-01,4282.0
1940-07-01,4261.0
1940-06-01,4218.0
1940-05-01,4172.0
1940-04-01,4152.0
1940-03-01,4151.0
1940-02-01,4150.0
1940-01-01,4150.0
1939-12-01,4134.0
1939-11-01,4109.0
1939-10-01,4089.0
1939-09-01,4076.0
1939-08-01,4046.0
1939-07-01,4019.0
1939-06-01,4003.0
1939-05-01,4006.0
1939-04-01,4002.0
1939-03-01,4002.0
1939-02-01,4001.0
1939-01-01,3988.0
